Row ID;Ship Date;City;Sales
1;11/11/2017;Henderson;261.96
2;11/11/2017;Henderson;731.94
3;16/6/2017;Los Angeles;14.62
4;18/10/2016;Fort Lauderdale;957.5775
5;18/10/2016;Fort Lauderdale;22.368
6;14/6/2015;Los Angeles;48.86
7;14/6/2015;Los Angeles;7.28
8;14/6/2015;Los Angeles;907.152
9;14/6/2015;Los Angeles;18.504
10;14/6/2015;Los Angeles;114.9
11;14/6/2015;Los Angeles;1706.184
12;14/6/2015;Los Angeles;911.424
13;20/4/2018;Concord;15.552
14;10/12/2017;Seattle;407.976
15;26/11/2016;Fort Worth;68.81
16;26/11/2016;Fort Worth;2.544
17;18/11/2015;Madison;665.88
18;15/5/2015;West Jordan;55.5
19;1/9/2015;San Francisco;8.56
20;1/9/2015;San Francisco;213.48
21;1/9/2015;San Francisco;22.72
22;13/12/2017;Fremont;19.46
23;13/12/2017;Fremont;60.34
24;18/7/2018;Philadelphia;71.372
25;30/9/2016;Orem;1044.63
26;20/1/2017;Los Angeles;11.648
27;20/1/2017;Los Angeles;90.57
28;21/9/2016;Philadelphia;3083.43
29;21/9/2016;Philadelphia;9.618
30;21/9/2016;Philadelphia;124.2
31;21/9/2016;Philadelphia;3.264
32;21/9/2016;Philadelphia;86.304
33;21/9/2016;Philadelphia;6.858
34;21/9/2016;Philadelphia;15.76
35;23/10/2018;Houston;29.472
36;10/12/2017;Richardson;1097.544
37;10/12/2017;Richardson;190.92
38;31/12/2016;Houston;113.328
39;31/12/2016;Houston;532.3992
40;31/12/2016;Houston;212.058
41;31/12/2016;Houston;371.168
42;15/9/2018;Naperville;147.168
43;22/7/2017;Los Angeles;77.88
44;23/9/2018;Melbourne;95.616
45;13/3/2017;Eagan;45.98
46;13/3/2017;Eagan;17.46
47;25/10/2015;Westland;211.96
48;25/6/2017;Dover;45
49;25/6/2017;Dover;21.8
50;22/4/2016;New Albany;38.22
51;22/4/2016;New Albany;75.18
52;22/4/2016;New Albany;6.16
53;22/4/2016;New Albany;89.99
54;17/12/2017;New York City;15.26
55;17/12/2017;New York City;1029.95
56;18/6/2017;Troy;208.56
57;18/6/2017;Troy;32.4
58;18/6/2017;Troy;319.41
59;18/6/2017;Troy;14.56
60;18/6/2017;Troy;30
61;18/6/2017;Troy;48.48
62;18/6/2017;Troy;1.68
63;30/11/2016;Los Angeles;13.98
64;30/11/2016;Los Angeles;25.824
65;30/11/2016;Los Angeles;146.73
66;30/11/2016;Los Angeles;79.76
67;5/5/2016;Chicago;213.115
68;10/12/2015;Gilbert;1113.024
69;10/12/2015;Gilbert;167.968
70;6/6/2017;Springfield;75.88
71;23/9/2017;New York City;4.616
72;17/9/2018;Jackson;19.05
73;2/5/2016;Memphis;831.936
74;2/5/2016;Memphis;97.04
75;2/5/2016;Memphis;72.784
76;11/12/2018;Houston;1.248
77;11/12/2018;Houston;9.708
78;11/12/2018;Houston;27.24
79;1/12/2015;Houston;19.3
80;15/6/2017;Decatur;208.16
81;15/6/2017;Decatur;16.74
82;16/10/2015;San Francisco;14.9
83;16/10/2015;San Francisco;21.39
84;8/9/2016;Durham;200.984
85;16/11/2018;Chicago;230.376
86;30/5/2018;Columbia;301.96
87;2/11/2018;Rochester;19.99
88;2/11/2018;Rochester;6.16
89;10/4/2017;Houston;158.368
90;22/9/2017;Los Angeles;20.1
91;22/9/2017;Los Angeles;73.584
92;22/9/2017;Los Angeles;6.48
93;5/2/2016;Minneapolis;12.96
